plan_id,case_label,site_group,true_model_id,true_model_label,comparator_id,comparator_label,metric,label,units,true_value,comparator_value,true_minus_comparator,favors_true_sink
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",no_sink,"Bystander, no vascular sink",mean_gammah2ax_valley,mean_gammah2ax_valley,a.u.,0.5442502498626709,0.5446820855140686,-0.0004318356513977051,True
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",no_sink,"Bystander, no vascular sink",mean_tunel_valley,mean_tunel_valley,a.u.,0.8644087314605713,0.8712941408157349,-0.006885409355163574,True
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",no_sink,"Bystander, no vascular sink",cytokine_valley_roi_auc,cytokine_valley_roi_auc,a.u.,1262.3704833984375,1282.9296875,-20.5592041015625,True
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",no_sink,"Bystander, no vascular sink",cytokine_global_auc,cytokine_global_auc,a.u.,87.56173706054688,90.45977783203125,-2.898040771484375,True
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",mirror_lr_sink,"Bystander, mirrored left-right vessel sink",mean_gammah2ax_valley,mean_gammah2ax_valley,a.u.,0.5442502498626709,0.5442502498626709,0.0,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",mirror_lr_sink,"Bystander, mirrored left-right vessel sink",mean_tunel_valley,mean_tunel_valley,a.u.,0.8644087314605713,0.8644087314605713,0.0,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",mirror_lr_sink,"Bystander, mirrored left-right vessel sink",cytokine_valley_roi_auc,cytokine_valley_roi_auc,a.u.,1262.3704833984375,1262.3704833984375,0.0,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",mirror_lr_sink,"Bystander, mirrored left-right vessel sink",cytokine_global_auc,cytokine_global_auc,a.u.,87.56173706054688,87.56173706054688,0.0,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",shifted_sink_12mm_ap,"Bystander, vessel sink shifted 12 mm anterior",mean_gammah2ax_valley,mean_gammah2ax_valley,a.u.,0.5442502498626709,0.5437259078025818,0.0005243420600891113,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",shifted_sink_12mm_ap,"Bystander, vessel sink shifted 12 mm anterior",mean_tunel_valley,mean_tunel_valley,a.u.,0.8644087314605713,0.8490561842918396,0.01535254716873169,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",shifted_sink_12mm_ap,"Bystander, vessel sink shifted 12 mm anterior",cytokine_valley_roi_auc,cytokine_valley_roi_auc,a.u.,1262.3704833984375,1178.35498046875,84.0155029296875,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",shifted_sink_12mm_ap,"Bystander, vessel sink shifted 12 mm anterior",cytokine_global_auc,cytokine_global_auc,a.u.,87.56173706054688,85.43517303466797,2.1265640258789062,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",mean_gammah2ax_valley,mean_gammah2ax_valley,a.u.,0.5442502498626709,0.5446866750717163,-0.00043642520904541016,True
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",mean_tunel_valley,mean_tunel_valley,a.u.,0.8644087314605713,0.8372716903686523,0.027137041091918945,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",cytokine_valley_roi_auc,cytokine_valley_roi_auc,a.u.,1262.3704833984375,1046.04736328125,216.3231201171875,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",cytokine_global_auc,cytokine_global_auc,a.u.,87.56173706054688,74.62885284423828,12.932884216308594,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",mean_gammah2ax_valley,mean_gammah2ax_valley,a.u.,0.5442502498626709,0.5443540215492249,-0.00010377168655395508,True
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",mean_tunel_valley,mean_tunel_valley,a.u.,0.8644087314605713,0.8482229113578796,0.01618582010269165,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",cytokine_valley_roi_auc,cytokine_valley_roi_auc,a.u.,1262.3704833984375,1168.10888671875,94.2615966796875,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",cytokine_global_auc,cytokine_global_auc,a.u.,87.56173706054688,80.78668975830078,6.775047302246094,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",peri_gtv_shell_sink_5_20mm,"Bystander, peri-GTV shell sink (5-20 mm)",mean_gammah2ax_valley,mean_gammah2ax_valley,a.u.,0.5442502498626709,0.5455578565597534,-0.0013076066970825195,True
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",peri_gtv_shell_sink_5_20mm,"Bystander, peri-GTV shell sink (5-20 mm)",mean_tunel_valley,mean_tunel_valley,a.u.,0.8644087314605713,0.8514459729194641,0.012962758541107178,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",peri_gtv_shell_sink_5_20mm,"Bystander, peri-GTV shell sink (5-20 mm)",cytokine_valley_roi_auc,cytokine_valley_roi_auc,a.u.,1262.3704833984375,1183.20458984375,79.1658935546875,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",peri_gtv_shell_sink_5_20mm,"Bystander, peri-GTV shell sink (5-20 mm)",cytokine_global_auc,cytokine_global_auc,a.u.,87.56173706054688,76.07454681396484,11.487190246582031,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",distance_decay_sink_lambda15mm,"Bystander, distance-decay sink (lambda 15 mm)",mean_gammah2ax_valley,mean_gammah2ax_valley,a.u.,0.5442502498626709,0.5443021655082703,-5.1915645599365234e-05,True
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",distance_decay_sink_lambda15mm,"Bystander, distance-decay sink (lambda 15 mm)",mean_tunel_valley,mean_tunel_valley,a.u.,0.8644087314605713,0.8188859224319458,0.04552280902862549,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",distance_decay_sink_lambda15mm,"Bystander, distance-decay sink (lambda 15 mm)",cytokine_valley_roi_auc,cytokine_valley_roi_auc,a.u.,1262.3704833984375,1031.50537109375,230.8651123046875,False
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",distance_decay_sink_lambda15mm,"Bystander, distance-decay sink (lambda 15 mm)",cytokine_global_auc,cytokine_global_auc,a.u.,87.56173706054688,73.73186492919922,13.829872131347656,False
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",no_sink,"Bystander, no vascular sink",mean_gammah2ax_valley,mean_gammah2ax_valley,a.u.,0.5287089943885803,0.529224693775177,-0.0005156993865966797,True
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",no_sink,"Bystander, no vascular sink",mean_tunel_valley,mean_tunel_valley,a.u.,0.8712612986564636,0.8799649477005005,-0.008703649044036865,True
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",no_sink,"Bystander, no vascular sink",cytokine_valley_roi_auc,cytokine_valley_roi_auc,a.u.,1373.219482421875,1409.832275390625,-36.61279296875,True
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",no_sink,"Bystander, no vascular sink",cytokine_global_auc,cytokine_global_auc,a.u.,119.22822570800781,123.79008483886719,-4.561859130859375,True
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",mirror_lr_sink,"Bystander, mirrored left-right vessel sink",mean_gammah2ax_valley,mean_gammah2ax_valley,a.u.,0.5287089943885803,0.5287089943885803,0.0,False
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",mirror_lr_sink,"Bystander, mirrored left-right vessel sink",mean_tunel_valley,mean_tunel_valley,a.u.,0.8712612986564636,0.8712612986564636,0.0,False
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",mirror_lr_sink,"Bystander, mirrored left-right vessel sink",cytokine_valley_roi_auc,cytokine_valley_roi_auc,a.u.,1373.219482421875,1373.219482421875,0.0,False
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",mirror_lr_sink,"Bystander, mirrored left-right vessel sink",cytokine_global_auc,cytokine_global_auc,a.u.,119.22822570800781,119.22822570800781,0.0,False
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",shifted_sink_12mm_ap,"Bystander, vessel sink shifted 12 mm anterior",mean_gammah2ax_valley,mean_gammah2ax_valley,a.u.,0.5287089943885803,0.5294759273529053,-0.0007669329643249512,True
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",shifted_sink_12mm_ap,"Bystander, vessel sink shifted 12 mm anterior",mean_tunel_valley,mean_tunel_valley,a.u.,0.8712612986564636,0.8688196539878845,0.0024416446685791016,False
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",shifted_sink_12mm_ap,"Bystander, vessel sink shifted 12 mm anterior",cytokine_valley_roi_auc,cytokine_valley_roi_auc,a.u.,1373.219482421875,1320.40576171875,52.813720703125,False
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",shifted_sink_12mm_ap,"Bystander, vessel sink shifted 12 mm anterior",cytokine_global_auc,cytokine_global_auc,a.u.,119.22822570800781,115.55045318603516,3.6777725219726562,False
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",mean_gammah2ax_valley,mean_gammah2ax_valley,a.u.,0.5287089943885803,0.5292333960533142,-0.0005244016647338867,True
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",mean_tunel_valley,mean_tunel_valley,a.u.,0.8712612986564636,0.8472034335136414,0.024057865142822266,False
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",cytokine_valley_roi_auc,cytokine_valley_roi_auc,a.u.,1373.219482421875,1151.5540771484375,221.6654052734375,False
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",cytokine_global_auc,cytokine_global_auc,a.u.,119.22822570800781,102.07704162597656,17.15118408203125,False
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",mean_gammah2ax_valley,mean_gammah2ax_valley,a.u.,0.5287089943885803,0.5293601751327515,-0.0006511807441711426,True
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",mean_tunel_valley,mean_tunel_valley,a.u.,0.8712612986564636,0.8607679605484009,0.010493338108062744,False
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",cytokine_valley_roi_auc,cytokine_valley_roi_auc,a.u.,1373.219482421875,1275.07958984375,98.139892578125,False
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",cytokine_global_auc,cytokine_global_auc,a.u.,119.22822570800781,108.7325668334961,10.495658874511719,False
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",peri_gtv_shell_sink_5_20mm,"Bystander, peri-GTV shell sink (5-20 mm)",mean_gammah2ax_valley,mean_gammah2ax_valley,a.u.,0.5287089943885803,0.5299428701400757,-0.0012338757514953613,True
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",peri_gtv_shell_sink_5_20mm,"Bystander, peri-GTV shell sink (5-20 mm)",mean_tunel_valley,mean_tunel_valley,a.u.,0.8712612986564636,0.8669492602348328,0.004312038421630859,False
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",peri_gtv_shell_sink_5_20mm,"Bystander, peri-GTV shell sink (5-20 mm)",cytokine_valley_roi_auc,cytokine_valley_roi_auc,a.u.,1373.219482421875,1336.8787841796875,36.3406982421875,False
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",peri_gtv_shell_sink_5_20mm,"Bystander, peri-GTV shell sink (5-20 mm)",cytokine_global_auc,cytokine_global_auc,a.u.,119.22822570800781,106.85346984863281,12.374755859375,False
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",distance_decay_sink_lambda15mm,"Bystander, distance-decay sink (lambda 15 mm)",mean_gammah2ax_valley,mean_gammah2ax_valley,a.u.,0.5287089943885803,0.5290819406509399,-0.00037294626235961914,True
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",distance_decay_sink_lambda15mm,"Bystander, distance-decay sink (lambda 15 mm)",mean_tunel_valley,mean_tunel_valley,a.u.,0.8712612986564636,0.8393396139144897,0.03192168474197388,False
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",distance_decay_sink_lambda15mm,"Bystander, distance-decay sink (lambda 15 mm)",cytokine_valley_roi_auc,cytokine_valley_roi_auc,a.u.,1373.219482421875,1192.2613525390625,180.9581298828125,False
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",distance_decay_sink_lambda15mm,"Bystander, distance-decay sink (lambda 15 mm)",cytokine_global_auc,cytokine_global_auc,a.u.,119.22822570800781,103.60799407958984,15.620231628417969,False
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,true_vessel_sink,"Bystander, anatomical vascular sink",no_sink,"Bystander, no vascular sink",mean_gammah2ax_valley,mean_gammah2ax_valley,a.u.,0.5586006045341492,0.5585822463035583,1.8358230590820312e-05,False
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,true_vessel_sink,"Bystander, anatomical vascular sink",no_sink,"Bystander, no vascular sink",mean_tunel_valley,mean_tunel_valley,a.u.,0.8771268725395203,0.8981489539146423,-0.02102208137512207,True
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,true_vessel_sink,"Bystander, anatomical vascular sink",no_sink,"Bystander, no vascular sink",cytokine_valley_roi_auc,cytokine_valley_roi_auc,a.u.,1364.216552734375,1577.042236328125,-212.82568359375,True
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,true_vessel_sink,"Bystander, anatomical vascular sink",no_sink,"Bystander, no vascular sink",cytokine_global_auc,cytokine_global_auc,a.u.,135.9909210205078,150.22689819335938,-14.235977172851562,True
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,true_vessel_sink,"Bystander, anatomical vascular sink",mirror_lr_sink,"Bystander, mirrored left-right vessel sink",mean_gammah2ax_valley,mean_gammah2ax_valley,a.u.,0.5586006045341492,0.5586006045341492,0.0,False
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,true_vessel_sink,"Bystander, anatomical vascular sink",mirror_lr_sink,"Bystander, mirrored left-right vessel sink",mean_tunel_valley,mean_tunel_valley,a.u.,0.8771268725395203,0.8771268725395203,0.0,False
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,true_vessel_sink,"Bystander, anatomical vascular sink",mirror_lr_sink,"Bystander, mirrored left-right vessel sink",cytokine_valley_roi_auc,cytokine_valley_roi_auc,a.u.,1364.216552734375,1364.216552734375,0.0,False
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,true_vessel_sink,"Bystander, anatomical vascular sink",mirror_lr_sink,"Bystander, mirrored left-right vessel sink",cytokine_global_auc,cytokine_global_auc,a.u.,135.9909210205078,135.9909210205078,0.0,False
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,true_vessel_sink,"Bystander, anatomical vascular sink",shifted_sink_12mm_ap,"Bystander, vessel sink shifted 12 mm anterior",mean_gammah2ax_valley,mean_gammah2ax_valley,a.u.,0.5586006045341492,0.5575402975082397,0.0010603070259094238,False
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,true_vessel_sink,"Bystander, anatomical vascular sink",shifted_sink_12mm_ap,"Bystander, vessel sink shifted 12 mm anterior",mean_tunel_valley,mean_tunel_valley,a.u.,0.8771268725395203,0.867725133895874,0.00940173864364624,False
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,true_vessel_sink,"Bystander, anatomical vascular sink",shifted_sink_12mm_ap,"Bystander, vessel sink shifted 12 mm anterior",cytokine_valley_roi_auc,cytokine_valley_roi_auc,a.u.,1364.216552734375,1351.71435546875,12.502197265625,False
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,true_vessel_sink,"Bystander, anatomical vascular sink",shifted_sink_12mm_ap,"Bystander, vessel sink shifted 12 mm anterior",cytokine_global_auc,cytokine_global_auc,a.u.,135.9909210205078,137.47991943359375,-1.4889984130859375,True
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,true_vessel_sink,"Bystander, anatomical vascular sink",uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",mean_gammah2ax_valley,mean_gammah2ax_valley,a.u.,0.5586006045341492,0.5585978031158447,2.8014183044433594e-06,False
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,true_vessel_sink,"Bystander, anatomical vascular sink",uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",mean_tunel_valley,mean_tunel_valley,a.u.,0.8771268725395203,0.8684775829315186,0.008649289608001709,False
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,true_vessel_sink,"Bystander, anatomical vascular sink",uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",cytokine_valley_roi_auc,cytokine_valley_roi_auc,a.u.,1364.216552734375,1288.176513671875,76.0400390625,False
